Nom;Nom alternatiu;Tipus;Continent;Unitat de relleu;País;Cimera;Regió;Altitud;Classificació per alçada;Latitud;Longitud;Descripció;Keywords;
De Gías;;pico;Europa;Pirineos;España;;;3.011 m;tres mil;;;Pico de 3.011 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
De Gourgs-Blancs;;pico;Europa;Pirineos;España;;;3.129 m;tres mil;;;Pico de 3.129 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
De Incahuasi;;cerro;América del Sur;Andes;Argentina, Chile;;Puna de Atacama;6.621 m;sis mil;;;Montaña de la cordillera de los Andes.;Montaña,cordillera,Andes;
De la Brecha de Tempestades;;punta;Europa;Pirineos;España;;;3.274 m;tres mil;;;Pico de 3.274 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
De la Brecha Russell;;punta;Europa;Pirineos;España;;;3.192 m;tres mil;;;Pico de 3.192 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
De La Forqueta;;pico;Europa;Pirineos;España;;;3.007 m;tres mil;;;Pico de 3.007 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
De La Frondella;;pico;Europa;Pirineos;España;;;3.071 m;tres mil;;;Pico de 3.071 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
De La Madaleta;;pico;Europa;Pirineos;España;;;3.308 m;tres mil;;;Pico de 3.308 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
De La Paúl;;pico;Europa;Pirineos;España;;;3.078 m;tres mil;;;Pico de 3.078 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
De La Pez;;pico;Europa;Pirineos;España;;;3.024 m;tres mil;;;Pico de 3.024 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
De la Ventana;;cerro;América del Sur;Sistema de la Ventanía;Argentina;;Sierra de la Ventana;1.136 m;mil;;;cerros de 1.136 m de altura ubicado en la sierra de la Ventana, en la provincia de Buenos Aires (Argentina). Es la segunda cumbre en importancia de la región, después del cerro Tres Picos, que con 1.243 m es el más alto de la provincia y del sistema de la Ventanía. Geológicamente, es de origen precámbrico. Su ascensión no presenta ninguna complejidad y permite conocer el paisaje característico del cordón montañoso en el que se emplaza. En los alrededores se puede practicar la escalada, realizar cabalgatas y recorrer varios circuitos en bicicleta de montaña.;cerros,altura,sierra,Ventana,Aires,segunda,cumbre,región,Tres Picos,alto,sistema,precámbrico,ascensión,paisaje,cordón,montañoso,escalada;
De las Ánimas;;cerro;América del Sur;Sierra de las Ánimas;Uruguay;;;501 m;menor de 1000;;;Segundo punto más alto de Uruguay, en la sierra de las Ánimas, después del cerro Catedral (514 m).;Segundo,Segundo,alto,sierra,cerro;
De Las Escaleras;;punta;Europa;Pirineos;España;;Aragón;3.027 m;tres mil;;;Pico de 3.027 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
De las Olas;;punta;Europa;Pirineos;España;;;3.002 m;tres mil;;;Pico de 3.002 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
De los Ángeles;;pico;América del Sur;Andes;Perú;;Arequipa;5.852 m;cinc mil;16° 12' S;71° 32' O;Cumbre norte del nevado Chachani, de 5.852 metros de altura sobre el nivel del mar, en la cordillera de los Andes peruanos. La ruta de ascensión es también común con la ruta de La Azufrera o vía normal del Chachani hasta el collado de 5.550 m. Desde el collado hay que seguir hacia la derecha (noroeste) para remontar la uniforme e inclinada pendiente de 40º (puede convertirse en un nevero en determinadas épocas del año), hasta la misma cima en 1:30-2 horas.;Cumbre,nevado,nevado,Chachani,altura,cordillera,Andes,ruta,ascensión,vía,normal,collado,pendiente,nevero,cima;
De Los Gemelos Ravier;;pico;Europa;Pirineos;España;;;3.160 m;tres mil;;;Pico de 3.160 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
De Los Piuquenes;;cerro;América del Sur;Andes;Chile, Argentina;;Cajón del Maipo;4.446 m;quatre mil;34º 23' S;70º 02' O;Montaña de la cordillera de los Andes, en el Cajón del Maipo, en la comuna Machalí, provincia Cachapoal, Región del Libertador General Bernardo O'Higgins. Se accede por la Región Metropolitana a través de la ruta de Santiago de Chile a San José de Maipo y a San Gabriel, por cruce a la planta hidroeléctrica Los Queltehues, remontando a continuación el curso ascendente de río Maipo hacia el sureste. Se encuentra recogido en la hoja cartográfica del Paso de las Leñas, 1: 50.000, sección F-18, I.G.M., Datum SAD 1956.;cordillera,Andes,Región,ruta,Santiago,planta,curso,río,Paso;
De Los Veteranos;;pico;Europa;Pirineos;España;;;3.125 m;tres mil;;;Pico de 3.125 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
De Margalida;;pico;Europa;Pirineos;España;;;3.241 m;tres mil;;;Pico de 3.241 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
De Maupas;;pico;Europa;Pirineos;España;;;3.109 m;tres mil;;;Pico de 3.109 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
De Néouvielle;;pico;Europa;Pirineos;España;;;3.091 m;tres mil;;;Pico de 3.091 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
De Orizaba;;pico;América del Norte;Cordillera Neovolcánica;México;;Sierra Madre Oriental;5.702 m;cinc mil;19° 01' 40'' N;97° 16' 08'' O;También llamado Citlaltépetl, es un volcán que se encuentra en la frontera entre los estados mexicanos de Puebla y Veracruz, en la cordillera Neovolcánica, y constituye la montaña más alta de México. Forma parte de dos sistemas orográficos: de la cordillera Neovolcánica, junto con el Popocatépetl y el Iztaccíhuatl, entre otros, y de la Sierra Madre Oriental, que recorre a México de norte a sur desde el Río Bravo hasta el centro del estado de Veracruz. Su cima está cubierta por nieve durante todo el año debido a su gran altura. Además de ser la cumbres más alta de todo el territorio mexicano, también es el tercero entre las montañas más altas de América del Norte, después del monte McKinley en Alaska y del monte Logan en Canadá (varias cumbres secundarias del monte Logan superan al pico de Orizaba, pero ninguna de ellas es cumbre principal, por lo que es correcto considerar al pico de Orizaba como la tercera montaña más alta del subcontinente de América del Norte).;volcán,frontera,cordillera,sistemas,orográficos,Popocatépetl,Iztaccíhuatl,Sierra,Río,cima,nieve,altura,cumbres,monte,McKinley,pico;
De Pavots;;pico;Europa;Pirineos;España;;;3.121 m;tres mil;;;Pico de 3.121 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
De Perdiguero;;pico;Europa;Pirineos;España;;;3.222 m;tres mil;;;Pico de 3.222 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
De Pondiellos;;aguja;Europa;Pirineos;España;;;3.011 m;tres mil;;;Pico de 3.011 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
De Punta;;cerro;América Central;Cordillera Central;Puerto Rico;;Ponce, Jayuya (Yeguitas);1.338 m;mil;;;También conocido como cerro Puntita es la montaña más alta de Puerto Rico con una altura de 1.338 m sobre el nivel del mar. Pertenece a la cordillera Central y se encuentra entre los municipios de Ponce y de Jayuya (Yeguitas). El cerro de Punta forma parte de la Reserva Forestal Toro Negro y  se le ha descrito como un enano alpino por sus características. Se encuentra en el extremo occidental del Parque de Toro Negro, al norte de la Ruta 143. La población más cercana es la urbanización Vega Linda, situada a 3,3 millas de distancia. Se dice que la vista desde la cima del cerro de Punta es la mejor de todo Puerto Rico, con una amplia panorámica del territorio, ya que en un día claro se puede ver prácticamente toda la isla.;cerro,Puerto,altura,cordillera,Central,Jayuya,Punta,alpino,extremo,Ruta,Vega,millas,cima,panorámica;
de Saint-Saud;;pico;Europa;Pirineos;España;;;3.003 m;tres mil;;;Pico de 3.003 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
De Sotllo;;pico;Europa;Pirineos;España;;;3.072 m;tres mil;;;Pico de 3.072 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
De Tancítaro;;pico;América del Norte;Cordillera Neovolcánica;México;;Michoacán;3.860 m;tres mil;;;Montaña que constituye lla mayor elevación del estado de Michoacán, en el imponente nudo montañoso conocido como El Nudo del Tancítaro. Este parque nacional cuenta con 29.316 ha y constituye una región vital para la conservación de sus grandes bosques de encino en sus partes bajas y cañadas, bosques de pino en sus áreas medias, y oyameles en las zonas más húmedas. Por su extensión y accidentado terreno, en él se puede encontrar una muestra de la fauna típica de la región montañosa del país, como armadillos, ardillas, zorras, liebres, venado cola blanca y una gran variedad de aves canoras.;Montaña,elevación,nudo,montañoso,región,bosques,cañadas,zonas,extensión,terreno,fauna,pica,montañosa;
De Tempestades;;pico;Europa;Pirineos;España;;;3.290 m;tres mil;;;Pico de 3.290 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
De Troumouse;;pico;Europa;Pirineos;España;;;3.085 m;tres mil;;;Pico de 3.085 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
De Vallhivierna;;pico;Europa;Pirineos;España;;;3.067 m;tres mil;;;Pico de 3.067 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Dedo del Monte Perdido;;pico;Europa;Pirineos;España;;;3.188 m;tres mil;;;Pico de 3.188 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Del Collado de la Rimaya;;pico;Europa;Pirineos;España;;;3.265 m;tres mil;;;Pico de 3.265 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Del Este;;pico;América Central;Cordillera Central;Puerto Rico;;Ceiba (Río Blanco);1.051 m;mil;;;Cumbre de la Cordillera Central puertorriqueña, situada en el municipio de Ceiba (Río Blanco).;Cumbre,Cordillera,Central,Río;
Del Ibón;;punta;Europa;Pirineos;España;;;3.100 m;tres mil;;;Pico de 3.100 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Del Lobo;;pico;Europa;Sistema Central;España;;;2.262 m;dos mil;;;Pico de 2.262 m de altura sobre el nivel del mar, situado en la sierra de Ayllón, en el Sistema Central.;Pico,altura,sierra,Sistema Central;
Del Marboré;;pico;Europa;Pirineos;España;;;3.248 m;tres mil;;;Pico de 3.248 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
del Medio;;pico;Europa;Pirineos;España;;Aragón;3.346 m;tres mil;;;Pico de 3.346 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Del Nacimiento;;cerro;América del Sur;Andes;Argentina;;Puna de Atacama;6.436 m;sis mil;;;Montaña de la cordillera de los Andes.;Montaña,cordillera,Andes;
Del Plomo;;nevado;América del Sur;Andes;Argentina, Chile;;Andes centrales;6.070 m;sis mil;;;Montaña de la cordillera de los Andes.;Montaña,cordillera,Andes;
Del Portillón De Oò;;pico;Europa;Pirineos;España;;;3.050 m;tres mil;;;Pico de 3.050 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Del Puerto De La Pez;;pico;Europa;Pirineos;España;;;3.018 m;tres mil;;;Pico de 3.018 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Del Sabre;;punta;Europa;Pirineos;España;;;3.136 m;tres mil;;;Pico de 3.136 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Del Taillón;;pico;Europa;Pirineos;España;;;3.144 m;tres mil;;;Pico de 3.144 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Del Toro;;cerro;América del Sur;Andes;Argentina, Chile;;Andes centrales;6.168 m;sis mil;;;Montaña de la cordillera de los Andes.;Montaña,cordillera,Andes;
Del Viento;;volcán;América del Sur;Andes;Argentina;;Puna de Atacama;6.120 m;sis mil;;;Montaña de la cordillera de los Andes.;Montaña,cordillera,Andes;
Delmás;;punta;Europa;Pirineos;España;;;3.170 m;tres mil;;;Pico de 3.170 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Dent D'estibére Male;;pico;Europa;Pirineos;España;;;3.017 m;tres mil;;;Pico de 3.017 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Des Trois Conseillers;;pico;Europa;Pirineos;España;;;3.039 m;tres mil;;;Pico de 3.039 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Dhaulagiri;;pico;Asia;Himalaya;Nepal;;;8.167 m;vuit mil;;;Cumbre de Nepal, de 8.167 m de altura, en el Himalaya, una de las montañas más altas de la Tierra y de los 14 ochomiles. Fue coronada por primera vez en 1960 por una expedición suiza dirigida por Max Eiselin.;Cumbre,altura,Himalaya,montañas,Tierra,ochomiles,primera,expedición;
Dhaulagiri II;;pico;Asia;Himalaya;Nepal;;;7.751 m;set mil;;;Pico de 7.751 m de altura sobre el nivel del mar, situado en la cordillera del Himalaya.;Pico,altura,cordillera,Himalaya;
Dhaulagiri IV;;pico;Asia;Himalaya;Nepal;;;7.661 m;set mil;;;Pico de 7.661 m de altura sobre el nivel del mar, situado en la cordillera del Himalaya.;Pico,altura,cordillera,Himalaya;
Dhaulagiri V;;pico;Asia;Himalaya;Nepal;;;7.618 m;set mil;;;Pico de 7.618 m de altura sobre el nivel del mar, situado en la cordillera del Himalaya.;Pico,altura,cordillera,Himalaya;
Dhaulagiri VI;;pico;Asia;Himalaya;Nepal;;;7.268 m;set mil;;;Pico de 7.268 m de altura sobre el nivel del mar, situado en la cordillera del Himalaya.;Pico,altura,cordillera,Himalaya;
Diente De Llardana;;pico;Europa;Pirineos;España;;;3.085 m;tres mil;;;Pico de 3.085 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Diente Del Alba;;pico;Europa;Pirineos;España;;;3.136 m;tres mil;;;Pico de 3.136 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Diente Royo;;pico;Europa;Pirineos;España;;;3.010 m;tres mil;;;Pico de 3.010 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Diran;;pico;Asia;Karakórum;Pakistán;;Cachemira;7.266 m;set mil;;;Pico de 7.266 m de altura sobre el nivel del mar, situado en la cordillera del Karakórum.;Pico,altura,cordillera,Karakórum;
Distaghil Sar;;pico;Asia;Karakórum;Pakistán;;Cachemira;7.884 m;set mil;;;Pico de 7.884 m de altura sobre el nivel del mar situado en la cordillera del Karakórum.;Pico,altura,cordillera,Karakórum;
Dome;;monte;América del Norte;Cordillera Watkins;Groenlandia;;;3.683 m;tres mil;;;Pico situado en la cordillera Watkins, en la costa este de Groenlandia. Constituye la segunda cota más alta del país con sus 3.683 m de altura sobre el nivel del mar, después del monte Gunnbjørn (3.694 m).;Pico,cordillera,segunda,cota,altura,monte,Gunnbjørn;
Dome Argus;;pico;Antártida;Dome Argus;Antártida;;;4.091 m;quatre mil;;;Montaña situada en el Dome Argus (Antártida).;Dome;
Doña Juana;;cerro;América Central;Cordillera Central;Puerto Rico;;Orocovis (Bauta Abajo);1.078 m;mil;;;Cumbre de la Cordillera Central puertorriqueña, situada en el municipio de Orocovis (Bauta Abajo).;Cumbre,Cordillera,Central;
Drushby;;pico;Asia;Tian Shan;China, Kirguistán;;;6.800 m;sis mil;;;Pico de 6.800 m de altura sobre el nivel del mar situado en la cordillera Tian Shan.;Pico,altura,cordillera,Tian Shan;
Du Milieu;;pico;Europa;Pirineos;España;;;3.130 m;tres mil;;;Pico de 3.130 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Duarte;;pico;América Central;Cordillera Central;República Dominicana;;;3.087 m;tres mil;19° 1' N;70° 60' O;picos de 3.087 m de alturas, situado en la cordilleras Central de la República Dominicana, provincia de San Juan, que se extiende desde las llanuras entre San Cristóbal y Baní hasta el noroeste de Haití donde se le conoce como el Massif du Nord. Es la máxima elevación del país y de todo el Caribe. La cumbres está formada por bloques graníticos y sus laderas están pobladas por bosques de pinos, dentro del Parque Nacional J. Armanda Bermúdez. Su ascensión no presenta ninguna dificultad técnica.;picos,alturas,cordilleras,Central,bal,elevación,cumbres,bloques,laderas,bosques,ascensión,dificultad;
Echandi;;cerro;América Central;Cordillera Central;Panamá;;;3.163 m;tres mil;;;Cerro de 3.163 m sobre el nivel del mar, situado en la Cordillera Central panameña.;Cerro,Cordillera,Central;
Edelweiss;;pico;Asia;Tian Shan;Kirguistán;;;6.000 m;sis mil;;;Pico de 6.000 m de altura sobre el nivel del mar situado en la cordillera Tian Shan.;Pico,altura,cordillera,Tian Shan;
El Bolo;;cerro;América Central;Cordillera Central;Puerto Rico;;Orocovis (Ala de Piedra);1.080 m;mil;;;Cumbre de la Cordillera Central puertorriqueña, situada en el municipio de Orocovis (Ala de Piedra).;Cumbre,Cordillera,Central,Ala,Piedra;
El Borrado;;cerro;América del Norte;Sierra Madre Oriental;México;;Tamaulipas;3.420 m;tres mil;;;Montaña más alta del estado de Tamaulipas (México).;Montaña;
El Cacique;;cerro;América Central;Cordillera Central;Puerto Rico;;Río Grande (Guzmán Arriba);1.020 m;mil;;;Cumbre de la Cordillera Central puertorriqueña, situada en el municipio de Río Grande (Guzmán Arriba).;Cumbre,Cordillera,Central,Río,Grande;
El Charro;;cerro;América del Norte;Quitana Roo;México;;Quitana Roo;230 m;menor de 1000;;;Montaña más alta del estado de Quintana Roo (México).;Montaña;
El Cóndor;;cerro;América del Sur;Andes;Argentina;;Puna de Atacama;6.414 m;sis mil;;;Montaña de la cordillera de los Andes.;Montaña,cordillera,Andes;
El Ermitaño;;cerro;América del Sur;Andes;Chile;;Puna de Atacama;6.146 m;sis mil;;;Montaña de la cordillera de los Andes.;Montaña,cordillera,Andes;
El Fraile;;nevado;América del Sur;Andes;Argentina, Chile;;Puna de Atacama;6.061 m;sis mil;;;Montaña de la cordillera de los Andes.;Montaña,cordillera,Andes;
El Gigante;;cerro;América Central;Cordillera Central;Puerto Rico;;Adjuntas (Saltillo);970 m;menor de 1000;;;Cumbre de la Cordillera Central puertorriqueña, situada en el municipio de Adjuntas (Saltillo).;Cumbre,Cordillera,Central;
El León;;pico;América del Sur;Andes;Venezuela;;;4.743 m;quatre mil;8º 30' 37'' N;71º 06' 03'' O;picos de 4.743 m de alturas sobre el nivel del mar, una de la mayores alturas de los Andes venezolanos (el séptimo), en la cordillera de Mérida. Por su ubicación y la dificultad de acceder hasta su base, es uno de los menos ascendidos de la región. La cumbre del pico El León fue coronada por primera vez en abril de 1946 por Baltazar Trujillo y Hugo Matheus. Tal y como sucede con la mayoría de los picos de la región, también ha perdido su glaciar (1920).;picos,alturas,Andes,cordillera,dificultad,región,cumbre,primera,glaciar;
El Malo;;cerro;América Central;Cordillera Central;Puerto Rico;;Orocovis (Bermejales);925 m;menor de 1000;;;Cumbre de la Cordillera Central puertorriqueña, situada en el municipio de Orocovis (Bermejales).;Cumbre,Cordillera,Central;
El Muerto;;cerro;América del Sur;Andes;Argentina, Chile;;Puna de Atacama;6.488 m;sis mil;;;Montaña de la cordillera de los Andes.;Montaña,cordillera,Andes;
El Plata;;cerro;América del Sur;Andes;Argentina;;Cordón del Plata;6.300 m;sis mil;;;Montaña de la cordillera de los Andes, en el Cordón del Plata (Argentina). Las mediciones realizadas por el IMG argentino bajo expediente número GG11244/5 del 17 de mayo de 1991 otorgan a este cerro una altura de 6.300 m sobre el nivel del mar. No obstante, otras mediciones realizadas por andinistas y guías ofrecen resultados distintos que oscilan entre los 5.997 y los 6050 m.;Montaña,cordillera,Andes,Cordón,cerro,altura,andinistas;
El Refugio;;cerro;América del Norte;Altiplano mexicano;México;;Zacatecas;3.200 m;tres mil;;;Montaña más alta del estado de Zacatecas (México).;Montaña;
El Yunque;;pico;América Central;Cordillera Central;Puerto Rico;;Río Grande (Mameyes);1.050 m;mil;;;Cumbre de la Cordillera Central puertorriqueña, situada en el municipio de Río Grande (Mameyes).;Cumbre,Cordillera,Central,Río,Grande;
El Zamorano;;cerro;América del Norte;Altiplano mexicano;México;;Guanajuato;3.360 m;tres mil;;;Montaña más alta de los estados de Guanajuato y Querétaro, en el Altiplano mexicano.;Montaña,Altiplano;
Elbrús;;monte;Europa;Cáucaso;Rusia;;Kabardino-Balkaria;5.642 m;cinc mil;43° 22´ N;42° 30´ E;Monte de 5.642 m de altura, situado en la república rusa de Kabardino-Balkaria, en el Cáucaso Central, a 65 km de la ciudad rusa de Kislovodsk. Constituye la cima más elevada de Europa (montañas más altas por continentes). Es un volcán de origen cenozoico, actualmente extinguido y cubierto por numerosos glaciares. En su ladera nace el río Kubán. Su ascensión no presenta grandes dificultades, aunque se precisa una buena técnica de progresión en nieve y hielo. Destacan sus dos cumbres secundarias: el Elbrús este y el Elbrús sudoeste.;Monte,altura,Cáucaso,Central,cima,continentes,volcán,glaciares,ladera,río,ascensión,dificultades,progresión,nieve,hielo,cumbres;
Elbrús Este;;pico;Europa;Cáucaso;Rusia;;Kabardino-Balkaria;5.621 m;cinc mil;3° 21' N;42° 32' E;cumbres este del monte Elbrús, de 5.621 m de altura, situado en la república rusa de Kabardino-Balkaria, en el Cáucaso Central, a 65 km de la ciudad rusa de Kislovodsk. Su ascensión no presenta grandes dificultades, aunque se precisa una buena técnica de progresión en nieve y hielo. Se completa la ascensión al monte Elbrús con la culminación de sus dos cumbres secundarias, la cumbre este y la cumbre sudoeste. Fue escalada por primera vez el 22 e julio de 1821 por Khashirov.;cumbres,monte,Elbrús,altura,Cáucaso,Central,ascensión,dificultades,progresión,nieve,hielo,escalada,primera;
Elbrús Sudoeste;;pico;Europa;Cáucaso;Rusia;;Kabardino-Balkaria;5.600 m;cinc mil;43° 21' N;42° 30' E;cumbres sudoeste del monte Elbrús, de 5.600 m de altura, situada en la república rusa de Kabardino-Balkaria, en el Cáucaso Central, a 65 km de la ciudad rusa de Kislovodsk. Su ascensión no presenta grandes dificultades, aunque se precisa una buena técnica de progresión en nieve y hielo. Se completa la ascensión al monte Elbrús con la culminación de sus dos cumbres secundarias, la cumbre este y la cumbre sudoeste. Fue escalada por primera vez en 1868 por Douglas Freshfield, A. W. Moore y C. C. Tucker.;cumbres,monte,Elbrús,altura,Cáucaso,Central,ascensión,dificultades,progresión,nieve,hielo,escalada,primera;
Elena;;pico;África;Montañas Ruwenzori;República Democrática del Congo, Uganda;;Monte Stanley;4.969 m;quatre mil;;;Pico de 4.969 m de altura sobre el nivel del mar, perteneciente al monte Stanley, en las montañas Ruwenzori.;Pico,altura,monte,Stanley;
Elgon;;monte;África;Plateau del centro-este de África;Uganda, Kenya;;;4.321 m;quatre mil;;;Volcán extinto en la frontera entre Uganda y Kenya, al norte de Kisumu y al oeste de Kitale.;Volcán,frontera;
Elizabeth;;monte;Antártida;Montes Transantárticos;Antártida;;;4.480 m;quatre mil;;;Montaña situada en los montes Trasantárticos (Antártida).;Montaña,montes;
Elizabeth del monte Stanley;;pico;África;Montañas Ruwenzori;República Democrática del Congo, Uganda;;Monte Stanley;4.929 m;quatre mil;;;Pico de 4.929 m de altura sobre el nivel del mar, perteneciente al monte Stanley, en las montañas Ruwenzori.;Pico,altura,monte,Stanley;
Emin;;monte;África;Montañas Ruwenzori;República Democrática del Congo;;;4.798 m;quatre mil;;;Se encuentra al norte del triángulo que forman los montes Stanley, Speke y Baker. Está formado por dos cumbres gemelas: los picos Umberto y Kraepelin. ;montes,Stanley,Speke,Baker,cumbres,picos;
Ensonga;;pico;África;Montañas Ruwenzori;Uganda;;Monte Speke;4.865 m;quatre mil;;;Cumbre secundaria del monte Speke.;Cumbre,monte,Speke;
Epperly;;monte;Antártida;Cordillera Oeste Antártica;Antártida;;;4.602 m;quatre mil;;;Montaña situada en la cordillera Oeste Antártica (Antártida).;Montaña,cordillera;
Erebus;;monte;Antártida;Montañas Trasantárticas;Antártida;;Isla de Ross;3.795 m;tres mil;;;Volcán de la Antártida, el más activo de los volcanes australes del planeta, con una altitud de 3.794 m. Se encuentra en la isla de Ross y forma parte del Anillo de Fuego del Pacífico, que incluye 160 volcanes activos. Se ha registrado actividad continua desde 1972, y en sus inmediaciones se encuentra el Observatorio del Volcán Monte Erebus, dirigido por el Instituto de Tecnología y Minería de Nuevo México (New Mexico Tech). El primer ascenso completo hasta el borde del cráter principal fue realizado por Edgeworth David y su equipo, miembros de la expedición Nimrod de 1908, liderada por Sir Ernest Shackleton. Su nombre recuerda a uno de los dos barcos de la expedición, el HMS Erebus y el HMS Terror.;Volcán,altitud,Monte,ascenso,equipo,expedición,Terror;
Eriste Sur;;pico;Europa;Pirineos;España;;;3.045 m;tres mil;;;Pico de 3.045 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Escudier;;aguja;Europa;Pirineos;España;;;3.315 m;tres mil;;;Pico de 3.315 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Espalda de Aneto;;pico;Europa;Pirineos;España;;Aragón;3.350 m;tres mil;;;Pico de 3.350 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Espalda De Chausenque;;pico;Europa;Pirineos;España;;;3.154 m;tres mil;;;Pico de 3.154 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Espalda De Esparets;;pico;Europa;Pirineos;España;;;3.077 m;tres mil;;;Pico de 3.077 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Espalda Del Marboré;;pico;Europa;Pirineos;España;;;3.073 m;tres mil;;;Pico de 3.073 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Everest;;monte;Asia;Himalaya;Tibet, Nepal;;;8.848 m;vuit mil;27º 59' N;86º 56' E;Montaña de 8.848 m de altura, la más alta de la Tierra, que forma parte de la crestas de los Grandes Himalayas (cordillera del Himalaya), en la frontera entre Nepal y Tíbet. Está coronada por dos cumbres, la principal y más alta, y el pico sur del Everest, de 8.748 m de altura, ambas formadas en la confluencia de tres crestas, la sureste, la noreste y la oeste, que determinan sus tres caras principales. Una nueva medición del monte Everest, realizada en 2005, reveló que la altitud exacta de su cumbre principal es de 8.844,43 m.;altura,Tierra,crestas,cordillera,Himalaya,frontera,cumbres,pico,caras,monte,altitud;
Fabrega;;cerro;América Central;Cordillera Central;Panamá;;;3.335 m;tres mil;;;Cerro de 3.335 m sobre el nivel del mar, situado en la Cordillera Central panameña.;Cerro,Cordillera,Central;
